event_code,event_name,event_title
BOME,BOD Meeting,"SVN-BoD's resolution dated December 23, 2016"
KQQY,Quarterly results,SVN-Q3/2016 financial statements
BOME,BOD Meeting,"SVN-BoD's resolution dated September 23, 2016"
BCHA,Key Personnel Change,"SVN-Appoints Mr. Nguyen Bao Trung, Director, as Information Disclosure Officer in replacement for Mr. Nguyen Duc Tien"
KQQY,Quarterly results,SVN-H1/2016 financial statements
BCHA,Key Personnel Change,"SVN-Personnel change from August 8, 2016"
KQQY,Quarterly results,SVN- Q2/2016 financial statements
KQQY,Quarterly results,SVN-Q1/2016 financial statements
BCHA,Key Personnel Change,"SVN-Appoints Ms. Tran Thi Chinh as Chief accountant in replacement for Ms. Nguyen Thi Huyen Trang from April 6, 2016"
AGMR,AGM Resolution,SVN- 2016 AGM's resolution
KQCT,Final Annual Results,SVN- 2015 financial statements
DDINS,Director Deal: Institutional transactions,"SVN-Xanh Vietnam Investment JSC sold 300,000 shares"
AIS,Additional Listing,"SVN-Lists additional 1,000,000 shares"
DDALL,Director Deal,"SVN-Mr. Nguyễn Đức Tiến, Director, bought 300,000 shares "
DDINS,Director Deal: Institutional transactions,"SVN-Bao Loc Ha Viet Investment Co., Ltd., sold 1,000,000 shares"
BCHA,Key Personnel Change,"SVN-Appoints Mr. Nguyen Duc Tien as information disclosure officer from March 5, 2016"
DDINS,Director Deal: Institutional transactions,"SVN- Bao Loc Ha Viet Investment Company Limited sold 1,000,000 shares"
AGME,Annual General Meeting,SVN-Holds 2016 AGM
DDINS,Director Deal: Institutional transactions,"SVN-Bao Loc Ha Viet Investment Co., Ltd sold 1,000,000 shares"
DDALL,Director Deal,"SVN-Mr. Nguyen Duc Tien, Director, registers to buy 300,000 shares"
DDINS,Director Deal: Institutional transactions,"SVN- Bao Loc Ha Viet Investment Co., Ltd sold 350,000 shares"
KQQY,Quarterly results,SVN- Q4/2015 financial statements
BCHA,Key Personnel Change,"SVN-Appoints Ms. Ly Thi Thu Huong as Head of Control Committee from January 13, 2016"
DDIND,Director Deal: Individual transactions,SVN-Mr. Nguyen Ngoc Son sold his all 2 million shares
KQQY,Quarterly results,
OTHE,Other events,
OTHE,Other events,
KQQY,Quarterly results,
KQQY,Quarterly results,
AGMR,AGM Resolution,
KQQY,Quarterly results,
KQCT,Final Annual Results,
KQQY,Quarterly results,
AIS,Additional Listing,
BOME,BOD Meeting,
BOME,BOD Meeting,
BOME,BOD Meeting,
BOME,BOD Meeting,
KQQY,Quarterly results,
BOME,BOD Meeting,
KQQY,Quarterly results,
BOME,BOD Meeting,
KQQY,Quarterly results,
BOME,BOD Meeting,
KQQY,Quarterly results,
BCHA,Key Personnel Change,
BCHA,Key Personnel Change,
KQQY,Quarterly results,
KQQY,Quarterly results,
KQQY,Quarterly results,
NLIS,New listing,
AIS,Additional Listing,"SVT- Lists additional 2,257,609 shares"
ISS,Share Issue,SVT - Issues dividend shares at 14.99993%
AGME,Annual General Meeting,SVT - Holds 2023 AGM
AIS,Additional Listing,"SVT- Lists additional 3,473,795 shares"
ISS,Share Issue,SVT - Issues dividend shares at 30%
AGME,Annual General Meeting,SVT - Holds 2022 AGM
BALLOT,Record date for ballot,SVT - Holds shareholders' circular ballot
DIV,Cash Dividend,"SVT - Pays Year, 2020 cash dividend at VND2000/share"
AGME,Annual General Meeting,SVT - Holds 2021 AGM
AIS,Additional Listing,"SVT - Lists additional 1,052,637 shares"
ISS,Share Issue,SVT- Issues dividend shares at 10%
AGME,Annual General Meeting,SVT - Holds 2020 AGM
AGME,Annual General Meeting,SVT - Holds 2019 AGM
AGME,Annual General Meeting,SVT-Holds 2018 AGM
BOME,BOD Meeting,"SVT-BoD's resolution dated February 06, 2018"
BOME,BOD Meeting,"SVT-BoD's resolution dated June 12, 2017"
AGMR,AGM Resolution,SVT- 2017 AGM's resolution
AGME,Annual General Meeting,SVT-Holds 2016 fiscal year AGM
KQQY,Quarterly results,SVT-Q3/2016 financial statements
AIS,Additional Listing,"SVT-Lists 956,954 additional shares"
BALLOT,Record date for ballot,SVT-Holds a shareholders' circular ballot
ISS,Share Issue,SVT-Issues 2015 dividend shares at the ex-rate of 100:10
BOME,BOD Meeting,"SVT-BoD's resolution dated June 1, 2016"
AGMR,AGM Resolution,SVT- 2015 AGM's resolution
BCHA,Key Personnel Change,SVT-Appoints Ms. Nguyen Thi Thu Phuong as chief accountant
AGME,Annual General Meeting,SVT-Holds 2015 AGM
KQQY,Quarterly results,SVT- Q4/2015 financial statements
AGMR,AGM Resolution,
BOME,BOD Meeting,
BOME,BOD Meeting,
AGMR,AGM Resolution,
BCHA,Key Personnel Change,
AIS,Additional Listing,
BOME,BOD Meeting,
BCHA,Key Personnel Change,
BOME,BOD Meeting,
NLIS,New listing,
AGME,Annual General Meeting,SWC - Holds 2023 AGM
AGME,Annual General Meeting,SWC - Holds 2022 AGM
KQQY,Quarterly results,SWC - Financial Statement Quarter 4/2021 (holding company)
KQQY,Quarterly results,SWC - Financial Statement Quarter 3/2021 (holding company)
KQQY,Quarterly results,SWC - Financial Statement Quarter 2/2021 (holding company)
AGME,Annual General Meeting,SWC - Holds 2021 AGM
KQCT,Final Annual Results,SWC - Audited Financial Statement FY 2020 (holding company)
KQQY,Quarterly results,SWC - Financial Statement Quarter 3/2020 (holding company)
KQQY,Quarterly results,SWC - Financial Statement Quarter 2/2020 (holding company)
AGME,Annual General Meeting,SWC - Holds 2020 AGM
AGME,Annual General Meeting,SWC - Holds 2019 AGM
DIV,Cash Dividend,"SWC - Pays Interim 2, 2018 cash dividend at VND3000/share"
TS,Treasury Stocks,SWC - Buy treasury shares
DIV,Cash Dividend,"SWC - Pays Interim 1, 2018 cash dividend at VND2000/share"
AGME,Annual General Meeting,SWC-Holds 2018 AGM
DIV,Cash Dividend,"SWC-Pays Interim 2, 2017 cash dividend at VND1000/share"
BOME,BOD Meeting,"SWC-BoD's resolution dated January 19, 2018"
KQQY,Quarterly results,SWC-Q4/2017 consolidated financial statements
KQQY,Quarterly results,SWC - Financial Statement Quarter 4/2017 (holding company)
BOME,BOD Meeting,"SWC-BoD's resolution dated December 08, 2017"
BOME,BOD Meeting,"SWC-BoD's resolution dated November 27, 2017"
BOME,BOD Meeting,"SWC-BoD's resolution dated November 07, 2017"
KQQY,Quarterly results,SWC-Q3/2017 financial statements (holding company)
KQQY,Quarterly results,SWC - Financial Statement Quarter 3/2017 (holding company)
KQQY,Quarterly results,SWC-Interim 2017 reviewed financial statements (holding company)
BCHA,Key Personnel Change,"SWC-Appoints Mr. Le Ba Tho as Information disclosure officer in replacement for Mr. Truong Quoc Hung from July 28, 2017"
BCHA,Key Personnel Change,"SWC-Key personnel changes from July 26, 2017"
KQQY,Quarterly results,SWC-Q2/2017 financial statements (holding company)
KQQY,Quarterly results,SWC - Financial Statement Quarter 2/2017 (holding company)
DIV,Cash Dividend,"SWC -Pays 2016 cash dividend and 2017 interim cash dividend at VND5,000/share"
BOME,BOD Meeting,"SWC-BoD's resolution dated April 18, 2017"
AGMR,AGM Resolution,SWC- 2017 AGM's resolution
KQCT,Final Annual Results,SWC- 2016 audited consolidated financial statements
BOME,BOD Meeting,"SWC-BoD's resolution dated March 20, 2017"
AGME,Annual General Meeting,SWC-Holds 2017 AGM
BOME,BOD Meeting,"SWC-BoD's resolution dated February 14, 2017"
KQQY,Quarterly results,SWC-Q4/2016 consolidated financial statements
DDINS,Director Deal: Institutional transactions,"SWC-Sotrans Infrastructure Investement Company Limited, major shareholder, bought 2,667,083 shares"
BOME,BOD Meeting,"SWC-BoD's resolution dated December 22, 2016"
KQQY,Quarterly results,SWC-Q3/2016 financial statements (Holding company + consolidation)
BOME,BOD Meeting,"SWC-BoD's resolution dated October 7, 2016"
BOME,BOD Meeting,"SWC-BoD's resolution dated September 28, 2016"
BOME,BOD Meeting,"SWC-BoD's resolution dated September 19, 2016"
KQQY,Quarterly results,SWC-H1/2016 consolidated financial statements
KQQY,Quarterly results,SWC-Q2/2016 consolidated financial statements
BOME,BOD Meeting,"SWC-BoD's resolution dated June 28, 2016"
BOME,BOD Meeting,"SWC-BoD's resolution dated June 17, 2016"
BOME,BOD Meeting,"SWC-BoD's resolution dated May 10, 2016"
DIV,Cash Dividend,SWC-Pays 2015 cash dividen at VND500/share
BCHA,Key Personnel Change,SWC-Appoints Mr. tran Tuan Anh as Board member in replacement for Mr. Holland Patrick Thomas 
AGMR,AGM Resolution,SWC- 2016 AGM's resolution
KQQY,Quarterly results,SWC- 2015 financial statements (Holding company + Consolidation)
DDINS,Director Deal: Institutional transactions,"SWC-IB Capital Fund Management Joint Stock Company registers to sell 2,735,000 shares"
DDINS,Director Deal: Institutional transactions,"SWC-Sotrans Infrastructure Investement Company Limited bought 28,921,000 shares"
KQCT,Final Annual Results,SWC-2015 consolidated financial statements
DDINS,Director Deal: Institutional transactions,"SWC-SCI Joint Stock Company sold 1,952,924 shares "
KQSB,Year Interim Result,SWC- 2015 financial statements
AGME,Annual General Meeting,SWC-Holds 2016 AGM
DDIND,Director Deal: Individual transactions,"SWC-Ms. Bui Thi Phuong Dung was no longer as major shareholder after selling its all 11,935,783 shares"
BOME,BOD Meeting,"SWC-BoD's resolution dated March 22, 2016"
BOME,BOD Meeting,"SWC-BoD's resolution dated March 16, 2016"
DDINS,Director Deal: Institutional transactions,"SWC-Sotrans Infrastructure Investement Company Limited registers to buy 28,921,000"
DDINS,Director Deal: Institutional transactions,"SWC-Sotrans Infrastructure Investement Company Limited bought 5,300,000 shares"
DDINS,Director Deal: Institutional transactions,"SWC-IB Securities Joint Stock Company sold 2,900,000 shares "
KQCT,Final Annual Results,SWC-2015 financial statements
DDIND,Director Deal: Individual transactions,"SWC-Ms. Bui Thi Phuong Dung, major shareholder, sold 2,555,000 shares"
DDRP,Director Deal: Related Person transactions,"SWC-Mr. Pham Nghiem Xuan Binh, brother of Board member, failed to buy 14,100,000 shares "
DDIND,Director Deal: Individual transactions,"SWC-Ms. Pham Thi Ngoc Tho was no longer as major shareholders after selling her all 3,400,000 shares "
DDINS,Director Deal: Institutional transactions,"SWC-Do Tran Printing Delivery and Shipping Joint Stock Company becames a major shareholders after buying 3,400,000 shares"
DDIND,Director Deal: Individual transactions,"SWC-Ms. Nguyen Thi Thu Thuy was no longer as major shareholder after selling 3,000,000 shares"
KQQY,Quarterly results,SWC-Q4/2015 financial statements
DDIND,Director Deal: Individual transactions,"SWC-Mr. Luu Tien Ngoc sold 4,819,600 shares"
DDIND,Director Deal: Individual transactions,"SWC- Ms. Pham Thi Ngoc Tho became a major shareholder after buying 3,400,000 shares"
DDINS,Director Deal: Institutional transactions,"SWC- Bao Viet Life Corporation became a major shareholder after buying 10,000,000 shares"
DDINS,Director Deal: Institutional transactions,"SWC- SCI Joint Stock Company became a major shareholder after buying 4,441,997 shares"
DDIND,Director Deal: Individual transactions,"SWC-Ms. Le Quynh Anh sold 2,000,000 shares"
DDALL,Director Deal,"SWC-Mr. Pham Nghiem Xuan Bac, Board member, sold his all 50,000 shares "
DDRP,Director Deal: Related Person transactions,"SWC- Mr. Pham Nghiem Xuan Binh, brother of Board member, registers to buy 14,100,000 shares "
DDALL,Director Deal,"SWC-Mr. Pham Nghiem Xuan Bac, Board member, registers to sold 50,000 shares"
DDINS,Director Deal: Institutional transactions,"SWC-State Capital Investment Corporation (SCIC) registered to sell 44,675,400 shares"
KQQY,Quarterly results,
KQQY,Quarterly results,
KQQY,Quarterly results,
KQQY,Quarterly results,
AGMR,AGM Resolution,
KQCT,Final Annual Results,
KQSB,Year Interim Result,
KQCT,Final Annual Results,
KQQY,Quarterly results,
AGMR,AGM Resolution,
KQQY,Quarterly results,
KQQY,Quarterly results,
KQQY,Quarterly results,
KQCT,Final Annual Results,
KQCT,Final Annual Results,
KQCT,Final Annual Results,
NLIS,New listing,
DIV,Cash Dividend,SZB - Pay cash dividend 2023 - Interim 1 at VND 1200/share
DIV,Cash Dividend,SZB - Pay cash dividend 2022 - Interim 2 at VND 1800/share
AGME,Annual General Meeting,SZB - Holds 2023 AGM
DIV,Cash Dividend,SZB - Pay cash dividend 2022 - Interim 1 at VND 1200/share
DIV,Cash Dividend,SZB - Pay cash dividend 2021 - Year at VND 2500/share
AGME,Annual General Meeting,SZB - Holds 2022 AGM
DIV,Cash Dividend,"SZB - Pays Year, 2020 cash dividend at VND2500/share"
AGME,Annual General Meeting,SZB - Holds 2021 AGM
DIV,Cash Dividend,"SZB - Pays Year, 2019 cash dividend at VND2500/share"
AGME,Annual General Meeting,SZB - Holds 2020 AGM
NLIS,New listing,SZB - Officially lists shares on HNX
ISS,Share Issue,"SZC - Issues additional shares for existing shareholders at 2 : 1 at VND 20,000/share"
AIS,Additional Listing,"SZC- Lists additional 19,999,961 shares"
ISS,Share Issue,SZC - Issues dividend shares at 20%
AGME,Annual General Meeting,SZC - Holds 2023 AGM
DIV,Cash Dividend,SZC - Pay cash dividend 2021 - Year at VND 1000/share
AGME,Annual General Meeting,SZC - Holds 2022 AGM
DIV,Cash Dividend,"SZC - Pays Year, 2020 cash dividend at VND1000/share"
DIV,Cash Dividend,"SZC - Pays Year, 2019 cash dividend at VND1000/share"
DIV,Cash Dividend,"SZC - Pays Year, 2018 cash dividend at VND800/share"
AGME,Annual General Meeting,SZC - Holds 2019 AGM
NLIS,New listing,SZC - Officially lists shares on HOSE
DIV,Cash Dividend,"SZC - Pays Year, 2017 cash dividend at VND500/share"
DIV,Cash Dividend,"SZC - Pays Year, 2016 cash dividend at VND400/share"
DIV,Cash Dividend,SZE - Pay cash dividend 2022 - Year at VND 800/share
AGME,Annual General Meeting,SZE - Holds 2023 AGM
DIV,Cash Dividend,SZE - Pay cash dividend 2021 - Year at VND 800/share
AGME,Annual General Meeting,SZE - Holds 2022 AGM
DIV,Cash Dividend,"SZE - Pays Year, 2020 cash dividend at VND800/share"
TS,Treasury Stocks,SZE - Buy treasury shares
TS,Treasury Stocks,SZE -  Registration Buy treasury shares
DIV,Cash Dividend,"SZE- Pays Year, 2019 cash dividend at VND800/Share"
AGME,Annual General Meeting,SZE - Holds 2020 AGM
DIV,Cash Dividend,"SZE - Pays Year, 2018 cash dividend at VND700/share"
AGME,Annual General Meeting,SZE-Holds 2019 AGM
DIV,Cash Dividend,"SZE - Pays Year, 2017 cash dividend at VND700/share"
AGME,Annual General Meeting,SZE-Holds 2018 AGM
KQQY,Quarterly results,SZE-Q2/2017 financial statements
DIV,Cash Dividend,"SZE - Pays 14 months, 2016 cash dividend at VND800/share"
AGMR,AGM Resolution,SZE- 2017 AGM's resolution
BCHA,Key Personnel Change,SZE-Ends labour contract with Mr. Vo Thanh Tin - Deputy CEO 
AGME,Annual General Meeting,SZE-Holds 2017 AGM
KQSB,Year Interim Result,SZE- 2016 financial statements
KQQY,Quarterly results,SZE-Q4/2016 financial statements
NLIS,New listing,SZE-Officially starts trading on UPCoM
AIS,Additional Listing,"SZL- Lists additional 9,114,840 shares"
ISS,Share Issue,SZL - Issues bonus shares at 50%
DIV,Cash Dividend,SZL - Pay cash dividend 2023 - Interim 1 at VND 1200/share
TS,Treasury Stocks,"SZL - Registers to sell 1,809,100 treasury shares."
DIV,Cash Dividend,SZL - Pay cash dividend 2022 - Interim 2 at VND 3000/share
AGME,Annual General Meeting,SZL - Holds 2023 AGM
DIV,Cash Dividend,SZL - Pay cash dividend 2022 - Interim 1 at VND 1000/share
DIV,Cash Dividend,SZL - Pay cash dividend 2021 - Year at VND 4000/share
EGME,Extraordinary General Meeting,SZL - Holds 2022 extra-ordinary shareholders meeting
AGME,Annual General Meeting,SZL - Holds 2022 AGM
DIV,Cash Dividend,"SZL - Pays Year, 2020 cash dividend at VND3000/share"
DIV,Cash Dividend,SZL- Pays year 2019 cash dividend VND3000/Share
AGME,Annual General Meeting,SZL - Holds 2020 AGM
DIV,Cash Dividend,"SZL - Pays Interim 2, 2018 cash dividend at VND1500/share"
AGME,Annual General Meeting,SZL - Holds 2019 AGM
DIV,Cash Dividend,"SZL - Pays Interim 1, 2018 cash dividend at VND1000/share"
DIV,Cash Dividend,"SZL - Pays Interim 2, 2017 cash dividend at VND1500/share"
AGME,Annual General Meeting,SZL-Holds 2018 AGM
DIV,Cash Dividend,"SZL - Pays Interim 1, 2017 cash dividend at VND1000/share"
BOME,BOD Meeting,"SZL-BoD's resolution dated August 30, 2017"
DIV,Cash Dividend,"SZL - Pays Year, 2016 cash dividend at VND2500/share"
BOME,BOD Meeting,"SZL-BoD's resolution dated June 14, 2017"
BOME,BOD Meeting,"SZL-BoD's resolution dated June 09, 2017"
BCHA,Key Personnel Change,SZL-Appoints Mr.Pham Tran Hung Thinh as CFO - Chief Accountant 
AGMR,AGM Resolution,SZL- 2017 AGM's resolution
BOME,BOD Meeting,"SZL-BoD's resolution dated March 20, 2017"
AGME,Annual General Meeting,SZL-Holds 2017 AGM
KQQY,Quarterly results,SZL-Q3/2016 financial statements
KQQY,Quarterly results,SZL-Q2/2016 financial statements
DIV,Cash Dividend,"SZL-Pays 2015 cash dividend at VND1,600/share"
BOME,BOD Meeting,"SZL-BoD's resolution dated May 17, 2016"
AGMR,AGM Resolution,SZL- 2016 AGM's resolution
BOME,BOD Meeting,"SZL-BoD's resolution dated April 25, 2016"
BOME,BOD Meeting,"SZL-BoD's resolution dated April 7, 2016"
AGME,Annual General Meeting,SZL-Holds 2016 AGM
BOME,BOD Meeting,SZL-BoD's resolution on a deposit contract with Dong Nai development investment fund
KQQY,Quarterly results,
BCHA,Key Personnel Change,
BOME,BOD Meeting,
AGMR,AGM Resolution,
BCHA,Key Personnel Change,
BOME,BOD Meeting,
BOME,BOD Meeting,
BOME,BOD Meeting,
BOME,BOD Meeting,
AGMR,AGM Resolution,
BOME,BOD Meeting,
BOME,BOD Meeting,
BOME,BOD Meeting,
BOME,BOD Meeting,
BOME,BOD Meeting,
TS,Treasury Stocks,
BOME,BOD Meeting,
TS,Treasury Stocks,
BOME,BOD Meeting,
BOME,BOD Meeting,
BOME,BOD Meeting,
BOME,BOD Meeting,
KQQY,Quarterly results,
BOME,BOD Meeting,
KQCT,Final Annual Results,
BCHA,Key Personnel Change,
KQCT,Final Annual Results,
AGME,Annual General Meeting,TA6 - Holds 2023 AGM
AGME,Annual General Meeting,TA6 - Holds 2022 AGM
AGME,Annual General Meeting,TA6 - Holds 2021 AGM
DIV,Cash Dividend,"TA6 - Pays Year, 2019 cash dividend at VND1108/share"
AGME,Annual General Meeting,TA6 - Holds 2020 AGM
DIV,Cash Dividend,"TA6 - Pays Year, 2018 cash dividend at VND1073.437/share"
AGME,Annual General Meeting,TA6 - Holds 2019 AGM
DIV,Cash Dividend,"TA6 - Pays Year, 2017 cash dividend at VND788/share"
AGME,Annual General Meeting,TA6-Holds 2018 AGM
NLIS,New listing,TA6-Officially registers shares on UPCoM
